event_id,customer_id,session_id,event_type,event_ts,device_type,browser,os,referrer,country,state,ab_variant,is_logged_in,page_depth,latency_ms,dwell_seconds,cart_value_usd,discount_rate,fraud_score,payment_outcome,sequence_num,product_id,category,promo_code
E0016,C005,S007,page_view,2026-05-07 09:00:00,mobile,safari,macos,direct,US,TX,B,true,2,136,46,36,0.03,0.16,approved,16,P001,home,SAVE5
E0017,C006,S008,purchase,2026-05-08 09:00:00,desktop,safari,macos,google,US,TX,A,true,3,137,47,37,0.03,0.17,none,17,P002,home,NONE
E0018,C001,S009,product_view,2026-05-09 09:00:00,mobile,chrome,ios,google,US,TX,B,true,4,138,48,38,0.03,0.18,approved,18,P003,apparel,NONE
E0019,C002,S010,purchase,2026-05-10 09:00:00,desktop,chrome,ios,google,US,WA,B,true,5,139,49,39,0.03,0.19,approved,19,P004,electronics,NONE
E0020,C003,S001,add_to_cart,2026-05-01 09:00:00,desktop,safari,ios,email,US,CA,B,true,1,140,50,40,0.03,0.2,approved,20,P005,apparel,SAVE5
E0021,C004,S002,page_view,2026-05-02 09:00:00,mobile,chrome,macos,google,US,CA,A,true,2,141,51,41,0.03,0.21,none,21,P006,home,NONE
E0022,C005,S003,add_to_cart,2026-05-03 09:00:00,mobile,chrome,ios,google,US,CA,A,true,3,142,52,42,0.03,0.22,none,22,P007,electronics,NONE
E0023,C006,S004,page_view,2026-05-04 09:00:00,desktop,chrome,ios,google,US,WA,B,true,4,143,53,43,0.03,0.23,none,23,P008,apparel,SAVE5
E0024,C001,S005,add_to_cart,2026-05-05 09:00:00,desktop,chrome,macos,email,US,TX,A,true,5,144,54,44,0.03,0.24,none,24,P001,apparel,SAVE5
E0025,C002,S006,purchase,2026-05-06 09:00:00,mobile,chrome,ios,google,US,TX,B,true,1,145,55,45,0.03,0.25,none,25,P002,electronics,NONE
E0026,C003,S007,page_view,2026-05-07 09:00:00,mobile,safari,windows,direct,US,CA,A,true,2,146,56,46,0.03,0.26,approved,26,P003,home,SAVE5
E0027,C004,S008,purchase,2026-05-08 09:00:00,desktop,safari,ios,direct,US,WA,B,true,3,147,57,47,0.03,0.27,approved,27,P004,electronics,NONE
E0028,C005,S009,page_view,2026-05-09 09:00:00,mobile,chrome,windows,email,US,TX,A,true,4,148,58,48,0.03,0.28,approved,28,P005,electronics,SAVE5
E0029,C006,S010,page_view,2026-05-10 09:00:00,mobile,safari,ios,email,US,TX,B,true,5,149,59,49,0.03,0.29,none,29,P006,electronics,SAVE5
E0030,C001,S001,product_view,2026-05-01 09:00:00,mobile,chrome,ios,direct,US,WA,A,true,1,150,60,50,0.03,0.3,approved,30,P007,home,NONE
E0031,C002,S002,add_to_cart,2026-05-02 09:00:00,mobile,chrome,macos,email,US,WA,A,true,2,151,61,51,0.03,0.31,approved,31,P008,electronics,NONE
E0032,C003,S003,product_view,2026-05-03 09:00:00,mobile,chrome,windows,google,US,CA,B,true,3,152,62,52,0.03,0.32,none,32,P001,apparel,SAVE5
E0033,C004,S004,product_view,2026-05-04 09:00:00,mobile,chrome,ios,direct,US,CA,B,true,4,153,63,53,0.03,0.33,approved,33,P002,apparel,NONE
E0034,C005,S005,page_view,2026-05-05 09:00:00,mobile,safari,ios,google,US,CA,A,true,5,154,64,54,0.03,0.34,approved,34,P003,electronics,SAVE5
E0035,C006,S006,add_to_cart,2026-05-06 09:00:00,desktop,safari,windows,direct,US,CA,B,true,1,155,65,55,0.03,0.35000000000000003,none,35,P004,electronics,NONE
E0036,C001,S007,product_view,2026-05-07 09:00:00,desktop,safari,windows,google,US,WA,A,true,2,156,66,56,0.03,0.36,none,36,P005,electronics,NONE
E0037,C002,S008,product_view,2026-05-08 09:00:00,desktop,chrome,macos,email,US,WA,B,true,3,157,67,57,0.03,0.37,none,37,P006,electronics,NONE
E0038,C003,S009,page_view,2026-05-09 09:00:00,desktop,safari,macos,direct,US,WA,A,true,4,158,68,58,0.03,0.38,approved,38,P007,home,NONE
E0039,C004,S010,purchase,2026-05-10 09:00:00,desktop,chrome,windows,direct,US,CA,B,true,5,159,69,59,0.03,0.39,approved,39,P008,electronics,NONE
E0040,C005,S001,purchase,2026-05-01 09:00:00,desktop,chrome,macos,email,US,CA,B,true,1,160,70,60,0.03,0.4,none,40,P001,home,NONE
