shot_id,game_id,player_name,shot_type,shot_zone_basic,shot_distance,shot_made_flag,result,period,minutes_remaining,loc_x,loc_y
374,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,30,1,Made,4,11,78,300
208,002200114,Stephen Curry,3PT Field Goal,Right Corner 3,30,1,Made,4,9,-242,462
192,002200113,Stephen Curry,3PT Field Goal,Above the Break 3,26,1,Made,3,9,-68,363
715,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,34,0,Missed,4,7,194,142
1024,002200166,Stephen Curry,2PT Field Goal,Mid-Range,10,1,Made,1,6,-130,69
1218,002200180,Stephen Curry,2PT Field Goal,Mid-Range,4,1,Made,1,10,156,127
63,002200105,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,2,9,-5,324
1105,002200172,Stephen Curry,2PT Field Goal,Mid-Range,5,1,Made,3,11,135,27
940,002200160,Stephen Curry,2PT Field Goal,Mid-Range,15,0,Missed,1,9,32,13
581,002200136,Stephen Curry,3PT Field Goal,Above the Break 3,30,1,Made,2,2,-3,347
882,002200156,Stephen Curry,2PT Field Goal,Restricted Area,17,0,Missed,1,10,-189,160
44,002200104,Stephen Curry,3PT Field Goal,Above the Break 3,33,0,Missed,4,4,-245,98
628,002200138,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,2,5,-12,194
218,002200114,Stephen Curry,3PT Field Goal,Above the Break 3,33,0,Missed,1,2,245,325
847,002200153,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),19,1,Made,3,7,23,124
1070,002200169,Stephen Curry,2PT Field Goal,Restricted Area,17,0,Missed,3,5,-101,169
909,002200158,Stephen Curry,2PT Field Goal,Mid-Range,1,1,Made,2,1,-22,12
458,002200128,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,2,11,-230,299
464,002200129,Stephen Curry,3PT Field Goal,Above the Break 3,31,0,Missed,4,0,120,146
254,002200116,Stephen Curry,3PT Field Goal,Above the Break 3,28,1,Made,3,1,124,292
1094,002200171,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),15,0,Missed,2,1,-132,140
527,002200132,Stephen Curry,3PT Field Goal,Left Corner 3,33,0,Missed,1,9,-215,100
432,002200127,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,1,10,82,126
799,002200150,Stephen Curry,2PT Field Goal,Mid-Range,3,1,Made,3,10,-3,3
1039,002200167,Stephen Curry,2PT Field Goal,Mid-Range,20,0,Missed,3,5,34,25
802,002200150,Stephen Curry,2PT Field Goal,Restricted Area,14,1,Made,4,3,200,16
1065,002200169,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),18,1,Made,4,0,-120,1
1254,002200100,Stephen Curry,2PT Field Goal,Restricted Area,19,0,Missed,4,8,-187,123
506,002200131,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,1,5,140,223
420,002200126,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,4,3,-216,464
1233,002200181,Stephen Curry,2PT Field Goal,Restricted Area,0,1,Made,3,3,-18,23
1116,002200173,Stephen Curry,2PT Field Goal,Mid-Range,6,1,Made,4,7,147,46
716,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,2,7,-88,59
1027,002200166,Stephen Curry,2PT Field Goal,Mid-Range,18,1,Made,2,9,-142,169
479,002200130,Stephen Curry,3PT Field Goal,Above the Break 3,23,1,Made,1,7,-140,414
415,002200126,Stephen Curry,3PT Field Goal,Above the Break 3,30,1,Made,1,7,57,88
438,002200127,Stephen Curry,3PT Field Goal,Above the Break 3,34,0,Missed,3,1,56,330
679,002200141,Stephen Curry,3PT Field Goal,Above the Break 3,23,1,Made,4,6,-77,327
610,002200137,Stephen Curry,3PT Field Goal,Left Corner 3,28,0,Missed,2,0,-189,16
777,002200148,Stephen Curry,2PT Field Goal,Restricted Area,21,1,Made,3,4,-2,88
727,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,26,1,Made,2,11,-153,170
1050,002200168,Stephen Curry,2PT Field Goal,Mid-Range,0,1,Made,1,9,215,152
823,002200152,Stephen Curry,2PT Field Goal,Restricted Area,18,1,Made,2,8,11,211
1325,002200105,Stephen Curry,2PT Field Goal,Restricted Area,11,1,Made,1,10,128,195
560,002200134,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,2,10,-208,457
184,002200112,Stephen Curry,3PT Field Goal,Above the Break 3,33,1,Made,3,5,103,11
247,002200116,Stephen Curry,3PT Field Goal,Above the Break 3,27,1,Made,3,5,-214,351
567,002200135,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,4,7,153,28
65,002200105,Stephen Curry,3PT Field Goal,Above the Break 3,29,0,Missed,4,1,246,383
1157,002200175,Stephen Curry,2PT Field Goal,Restricted Area,7,1,Made,1,3,-74,27
788,002200149,Stephen Curry,2PT Field Goal,Mid-Range,0,1,Made,4,7,-169,117
353,002200122,Stephen Curry,3PT Field Goal,Left Corner 3,32,0,Missed,1,8,-139,12
309,002200120,Stephen Curry,3PT Field Goal,Right Corner 3,27,0,Missed,4,10,-108,341
244,002200116,Stephen Curry,3PT Field Goal,Left Corner 3,31,0,Missed,2,8,-63,361
917,002200158,Stephen Curry,2PT Field Goal,Mid-Range,19,1,Made,2,9,-67,173
578,002200135,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,4,9,169,72
908,002200158,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),14,0,Missed,4,11,-12,63
865,002200155,Stephen Curry,2PT Field Goal,Mid-Range,21,0,Missed,4,8,-112,128
1083,002200170,Stephen Curry,2PT Field Goal,Restricted Area,11,0,Missed,4,10,-107,124
58,002200105,Stephen Curry,3PT Field Goal,Above the Break 3,33,1,Made,2,9,-129,0
413,002200126,Stephen Curry,3PT Field Goal,Left Corner 3,34,0,Missed,4,8,0,123
1232,002200181,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),20,0,Missed,4,11,57,147
237,002200115,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,1,8,-205,159
650,002200140,Stephen Curry,3PT Field Goal,Above the Break 3,29,0,Missed,4,1,42,432
23,002200103,Stephen Curry,3PT Field Goal,Above the Break 3,30,1,Made,4,8,8,358
678,002200141,Stephen Curry,3PT Field Goal,Left Corner 3,27,0,Missed,2,0,148,460
344,002200122,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,3,2,-77,112
701,002200143,Stephen Curry,3PT Field Goal,Left Corner 3,25,1,Made,2,6,117,128
589,002200136,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,2,9,112,122
846,002200153,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),5,0,Missed,3,10,-182,30
712,002200143,Stephen Curry,3PT Field Goal,Above the Break 3,28,1,Made,1,4,-140,384
429,002200127,Stephen Curry,3PT Field Goal,Left Corner 3,25,1,Made,1,9,44,340
668,002200141,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,2,8,196,331
778,002200148,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),11,1,Made,1,10,202,53
874,002200155,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),1,1,Made,1,6,194,191
306,002200119,Stephen Curry,3PT Field Goal,Left Corner 3,22,1,Made,3,11,-213,225
221,002200114,Stephen Curry,3PT Field Goal,Above the Break 3,27,1,Made,3,5,-58,21
1186,002200178,Stephen Curry,2PT Field Goal,Restricted Area,11,0,Missed,1,8,202,169
81,002200106,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,3,5,88,135
1127,002200173,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),19,1,Made,3,8,-129,180
461,002200129,Stephen Curry,3PT Field Goal,Above the Break 3,31,0,Missed,2,6,90,7
350,002200122,Stephen Curry,3PT Field Goal,Above the Break 3,27,0,Missed,3,6,-143,366
478,002200130,Stephen Curry,3PT Field Goal,Left Corner 3,23,1,Made,1,6,-89,233
1257,002200101,Stephen Curry,2PT Field Goal,Restricted Area,13,1,Made,1,9,-122,60
1230,002200181,Stephen Curry,2PT Field Goal,Restricted Area,1,0,Missed,1,1,-178,153
807,002200150,Stephen Curry,2PT Field Goal,Mid-Range,6,0,Missed,4,4,111,28
787,002200149,Stephen Curry,2PT Field Goal,Mid-Range,1,1,Made,2,5,209,115
534,002200133,Stephen Curry,3PT Field Goal,Right Corner 3,31,0,Missed,4,3,92,265
1055,002200168,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),15,0,Missed,1,10,22,181
503,002200131,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,2,0,17,181
944,002200160,Stephen Curry,2PT Field Goal,Mid-Range,20,1,Made,3,4,-164,125
818,002200151,Stephen Curry,2PT Field Goal,Restricted Area,13,0,Missed,4,8,106,14
1279,002200102,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),3,1,Made,3,8,-217,75
175,002200112,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,1,4,-224,312
231,002200115,Stephen Curry,3PT Field Goal,Above the Break 3,23,1,Made,4,2,98,447
261,002200117,Stephen Curry,3PT Field Goal,Left Corner 3,33,0,Missed,2,5,-143,250
906,002200158,Stephen Curry,2PT Field Goal,Mid-Range,9,0,Missed,1,1,-63,148
1004,002200165,Stephen Curry,2PT Field Goal,Mid-Range,4,0,Missed,3,3,-54,211
1053,002200168,Stephen Curry,2PT Field Goal,Mid-Range,19,1,Made,4,8,38,45
1290,002200103,Stephen Curry,2PT Field Goal,Mid-Range,14,1,Made,2,2,-119,53
892,002200157,Stephen Curry,2PT Field Goal,Mid-Range,15,1,Made,3,9,52,37
933,002200159,Stephen Curry,2PT Field Goal,Restricted Area,20,1,Made,3,8,46,165
277,002200118,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,2,5,223,266
845,002200153,Stephen Curry,2PT Field Goal,Restricted Area,7,1,Made,1,1,124,124
1139,002200174,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),10,0,Missed,1,4,173,170
631,002200139,Stephen Curry,3PT Field Goal,Above the Break 3,28,0,Missed,1,3,106,339
1114,002200172,Stephen Curry,2PT Field Goal,Mid-Range,2,1,Made,3,3,194,68
56,002200105,Stephen Curry,3PT Field Goal,Above the Break 3,34,0,Missed,4,9,-93,146
666,002200141,Stephen Curry,3PT Field Goal,Above the Break 3,30,1,Made,3,2,209,423
1265,002200101,Stephen Curry,2PT Field Goal,Restricted Area,9,1,Made,2,5,113,195
575,002200135,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,3,3,-186,82
1244,002200100,Stephen Curry,2PT Field Goal,Restricted Area,0,0,Missed,4,3,-33,81
583,002200136,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,1,0,115,68
1110,002200172,Stephen Curry,2PT Field Goal,Mid-Range,4,0,Missed,4,4,128,19
86,002200107,Stephen Curry,3PT Field Goal,Right Corner 3,33,0,Missed,2,7,166,421
123,002200109,Stephen Curry,3PT Field Goal,Above the Break 3,27,1,Made,2,3,99,330
1281,002200102,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),12,1,Made,2,4,-155,9
965,002200162,Stephen Curry,2PT Field Goal,Mid-Range,13,0,Missed,1,5,103,180
322,002200120,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,1,3,-127,421
943,002200160,Stephen Curry,2PT Field Goal,Restricted Area,5,1,Made,3,1,73,151
1336,002200106,Stephen Curry,2PT Field Goal,Mid-Range,15,0,Missed,1,1,59,154
613,002200138,Stephen Curry,3PT Field Goal,Right Corner 3,30,0,Missed,2,2,-133,232
1288,002200103,Stephen Curry,2PT Field Goal,Mid-Range,21,1,Made,3,7,60,45
886,002200156,Stephen Curry,2PT Field Goal,Mid-Range,17,1,Made,4,7,-151,213
852,002200154,Stephen Curry,2PT Field Goal,Restricted Area,3,0,Missed,3,11,-184,73
128,002200109,Stephen Curry,3PT Field Goal,Right Corner 3,25,1,Made,2,0,-231,112
532,002200133,Stephen Curry,3PT Field Goal,Above the Break 3,24,1,Made,4,10,95,205
1103,002200172,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),2,0,Missed,3,8,83,64
1030,002200166,Stephen Curry,2PT Field Goal,Mid-Range,12,0,Missed,1,6,205,46
1202,002200179,Stephen Curry,2PT Field Goal,Restricted Area,9,1,Made,4,6,4,198
1137,002200174,Stephen Curry,2PT Field Goal,Restricted Area,17,0,Missed,1,1,177,117
428,002200127,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,1,5,-202,301
1163,002200176,Stephen Curry,2PT Field Goal,Restricted Area,16,1,Made,2,8,77,97
174,002200112,Stephen Curry,3PT Field Goal,Left Corner 3,30,0,Missed,2,0,-86,152
371,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,27,0,Missed,1,11,113,187
1150,002200175,Stephen Curry,2PT Field Goal,Restricted Area,1,0,Missed,1,6,-158,174
1155,002200175,Stephen Curry,2PT Field Goal,Restricted Area,18,1,Made,3,2,-11,40
1063,002200169,Stephen Curry,2PT Field Goal,Restricted Area,17,1,Made,2,8,181,21
1310,002200104,Stephen Curry,2PT Field Goal,Mid-Range,14,1,Made,1,0,-151,103
1335,002200106,Stephen Curry,2PT Field Goal,Restricted Area,21,1,Made,4,9,-4,142
806,002200150,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),4,1,Made,1,9,-188,201
29,002200103,Stephen Curry,3PT Field Goal,Above the Break 3,32,1,Made,2,0,4,293
985,002200163,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),7,1,Made,2,2,85,160
664,002200141,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,1,11,195,342
240,002200116,Stephen Curry,3PT Field Goal,Above the Break 3,27,1,Made,3,9,247,142
1081,002200170,Stephen Curry,2PT Field Goal,Restricted Area,20,1,Made,2,11,-35,48
31,002200103,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,3,10,169,402
363,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,28,0,Missed,3,0,-105,318
210,002200114,Stephen Curry,3PT Field Goal,Above the Break 3,31,1,Made,3,4,65,175
312,002200120,Stephen Curry,3PT Field Goal,Left Corner 3,26,1,Made,1,10,-121,418
1249,002200100,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),8,0,Missed,2,0,4,50
912,002200158,Stephen Curry,2PT Field Goal,Restricted Area,4,1,Made,4,8,97,215
1224,002200180,Stephen Curry,2PT Field Goal,Mid-Range,2,1,Made,3,11,81,35
352,002200122,Stephen Curry,3PT Field Goal,Right Corner 3,29,0,Missed,1,9,103,9
1303,002200104,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),15,1,Made,1,11,49,151
70,002200106,Stephen Curry,3PT Field Goal,Above the Break 3,31,1,Made,3,10,162,375
513,002200132,Stephen Curry,3PT Field Goal,Above the Break 3,28,1,Made,1,9,-226,393
1091,002200171,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),16,1,Made,4,1,-55,105
964,002200162,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),2,0,Missed,1,1,112,102
239,002200116,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,1,0,-174,115
1066,002200169,Stephen Curry,2PT Field Goal,Mid-Range,0,0,Missed,4,6,214,211
433,002200127,Stephen Curry,3PT Field Goal,Above the Break 3,33,1,Made,3,7,205,444
594,002200136,Stephen Curry,3PT Field Goal,Above the Break 3,22,1,Made,1,4,-9,454
697,002200142,Stephen Curry,3PT Field Goal,Above the Break 3,29,1,Made,2,8,39,66
724,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,34,1,Made,3,2,-5,135
765,002200147,Stephen Curry,2PT Field Goal,Restricted Area,8,1,Made,3,8,5,175
572,002200135,Stephen Curry,3PT Field Goal,Above the Break 3,32,1,Made,1,5,-231,40
598,002200137,Stephen Curry,3PT Field Goal,Above the Break 3,31,1,Made,2,0,118,212
467,002200129,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,4,10,-169,91
48,002200104,Stephen Curry,3PT Field Goal,Above the Break 3,27,1,Made,2,10,239,385
1212,002200179,Stephen Curry,2PT Field Goal,Mid-Range,13,1,Made,2,0,218,109
113,002200108,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,2,5,-12,55
155,002200111,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,2,5,93,160
820,002200151,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),7,1,Made,2,8,85,11
482,002200130,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,2,8,-37,30
792,002200149,Stephen Curry,2PT Field Goal,Mid-Range,13,1,Made,2,11,217,214
1142,002200174,Stephen Curry,2PT Field Goal,Restricted Area,0,1,Made,2,0,116,42
481,002200130,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,4,0,-18,157
849,002200153,Stephen Curry,2PT Field Goal,Restricted Area,19,1,Made,3,4,55,78
706,002200143,Stephen Curry,3PT Field Goal,Right Corner 3,29,1,Made,3,2,-211,241
1339,002200106,Stephen Curry,2PT Field Goal,Restricted Area,14,1,Made,4,4,-80,8
339,002200121,Stephen Curry,3PT Field Goal,Above the Break 3,23,0,Missed,1,3,131,323
1334,002200106,Stephen Curry,2PT Field Goal,Restricted Area,6,1,Made,1,8,-34,30
198,002200113,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,2,7,-93,323
1333,002200106,Stephen Curry,2PT Field Goal,Restricted Area,8,0,Missed,3,0,-175,17
700,002200143,Stephen Curry,3PT Field Goal,Above the Break 3,26,1,Made,1,1,220,350
270,002200117,Stephen Curry,3PT Field Goal,Left Corner 3,22,0,Missed,1,7,94,301
630,002200139,Stephen Curry,3PT Field Goal,Above the Break 3,28,1,Made,2,6,186,462
670,002200141,Stephen Curry,3PT Field Goal,Above the Break 3,29,0,Missed,1,0,246,228
107,002200108,Stephen Curry,3PT Field Goal,Left Corner 3,25,0,Missed,2,1,11,52
1158,002200176,Stephen Curry,2PT Field Goal,Mid-Range,0,0,Missed,4,2,65,21
297,002200119,Stephen Curry,3PT Field Goal,Above the Break 3,29,1,Made,3,3,136,72
1262,002200101,Stephen Curry,2PT Field Goal,Mid-Range,7,1,Made,4,4,207,7
1320,002200105,Stephen Curry,2PT Field Goal,Restricted Area,20,0,Missed,4,2,-114,125
370,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,1,6,247,418
988,002200163,Stephen Curry,2PT Field Goal,Mid-Range,19,1,Made,2,5,-196,155
1010,002200165,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),18,1,Made,1,11,50,77
1115,002200172,Stephen Curry,2PT Field Goal,Mid-Range,7,1,Made,3,3,-205,115
243,002200116,Stephen Curry,3PT Field Goal,Left Corner 3,32,0,Missed,2,10,-167,207
377,002200124,Stephen Curry,3PT Field Goal,Above the Break 3,28,0,Missed,2,9,241,375
629,002200138,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,3,11,154,377
1174,002200177,Stephen Curry,2PT Field Goal,Restricted Area,21,1,Made,2,7,4,57
1280,002200102,Stephen Curry,2PT Field Goal,Mid-Range,5,1,Made,3,6,93,18
435,002200127,Stephen Curry,3PT Field Goal,Left Corner 3,28,0,Missed,3,6,-74,174
722,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,2,9,-123,397
54,002200105,Stephen Curry,3PT Field Goal,Above the Break 3,33,0,Missed,2,7,-198,59
382,002200124,Stephen Curry,3PT Field Goal,Above the Break 3,22,1,Made,3,5,-153,64
755,002200147,Stephen Curry,2PT Field Goal,Mid-Range,1,0,Missed,2,9,-91,193
109,002200108,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,1,7,137,359
1040,002200167,Stephen Curry,2PT Field Goal,Restricted Area,15,1,Made,1,4,38,179
548,002200134,Stephen Curry,3PT Field Goal,Above the Break 3,29,0,Missed,4,5,-102,455
1342,002200107,Stephen Curry,2PT Field Goal,Mid-Range,6,0,Missed,1,9,116,157
1203,002200179,Stephen Curry,2PT Field Goal,Restricted Area,11,1,Made,3,3,7,219
774,002200148,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),4,1,Made,1,3,122,103
573,002200135,Stephen Curry,3PT Field Goal,Above the Break 3,25,1,Made,1,1,163,308
1295,002200103,Stephen Curry,2PT Field Goal,Restricted Area,12,1,Made,1,2,99,51
970,002200162,Stephen Curry,2PT Field Goal,Restricted Area,1,0,Missed,4,3,128,168
983,002200163,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),18,1,Made,3,0,-129,112
1338,002200106,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),10,1,Made,2,5,174,73
170,002200111,Stephen Curry,3PT Field Goal,Right Corner 3,27,1,Made,4,0,-49,157
286,002200118,Stephen Curry,3PT Field Goal,Left Corner 3,28,0,Missed,2,0,175,444
621,002200138,Stephen Curry,3PT Field Goal,Above the Break 3,25,1,Made,4,9,63,356
209,002200114,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,2,11,212,37
767,002200148,Stephen Curry,2PT Field Goal,Mid-Range,1,0,Missed,1,11,-120,155
140,002200110,Stephen Curry,3PT Field Goal,Above the Break 3,34,1,Made,2,6,160,419
942,002200160,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),0,0,Missed,3,5,25,188
1144,002200175,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),16,1,Made,2,11,-79,171
199,002200113,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,4,8,148,304
365,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,25,1,Made,4,10,148,197
