Country,Age,EdLevel,DevType,OrgSize,RemoteWork,YearsCode,YearsCodePro,NumLanguages,AISearch,AICode,JobSat,ConvertedCompYearly
United States,35-44 years old,Master's degree,Front-end developer,"1,000-4,999",Hybrid,21,17,6,1,1,3,177500.0
Canada,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Data scientist/ML engineer,100-499,Hybrid,17,14,3,1,0,1,133800.0
Germany,45-54 years old,Bachelor's degree,Full-stack developer,20-99,Fully remote,23,23,3,0,0,8,135700.0
France,25-34 years old,Bachelor's degree,Front-end developer,10-19,Fully remote,4,1,4,1,1,9,56900.0
United Kingdom,18-24 years old,"Professional degree (JD, MD, etc.)",Desktop/embedded developer,100-499,Fully remote,1,0,4,1,0,7,
India,35-44 years old,Master's degree,Full-stack developer,"1,000-4,999",Hybrid,5,3,6,1,1,5,32100.0
Canada,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,500-999,Hybrid,14,10,6,1,1,6,148000.0
India,35-44 years old,High school/GED,Mobile developer,100-499,Fully remote,18,15,4,1,1,7,
United States,35-44 years old,Master's degree,Full-stack developer,100-499,Hybrid,15,14,4,1,1,2,176600.0
France,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,2-9 employees,Fully remote,8,4,6,1,1,3,93900.0
India,25-34 years old,Some college,Desktop/embedded developer,"1,000-4,999",Fully remote,9,5,3,1,1,10,21200.0
Russia,25-34 years old,Master's degree,Front-end developer,"1,000-4,999",Hybrid,6,3,5,1,0,8,
United States,18-24 years old,Bachelor's degree,DevOps/SRE/platform engineer,Just me,Fully remote,3,2,3,1,1,8,124500.0
Canada,18-24 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,6,4,9,1,1,3,79800.0
United Kingdom,18-24 years old,Master's degree,Data scientist/ML engineer,2-9 employees,In-person,3,0,5,1,1,5,122300.0
United States,35-44 years old,Bachelor's degree,Back-end developer,"10,000 or more",In-person,17,13,2,0,0,6,149400.0
Germany,25-34 years old,High school/GED,Data scientist/ML engineer,500-999,Fully remote,12,8,3,1,1,4,124700.0
France,25-34 years old,Bachelor's degree,Back-end developer,100-499,In-person,4,4,8,0,1,9,68700.0
India,45-54 years old,Some college,Full-stack developer,100-499,Hybrid,23,22,5,1,1,7,45600.0
United States,25-34 years old,Associate's degree,Back-end developer,"10,000 or more",In-person,13,13,6,1,1,4,130800.0
Canada,25-34 years old,Less than high school,Full-stack developer,"1,000-4,999",Fully remote,7,5,4,1,0,8,76600.0
United States,35-44 years old,Some college,Full-stack developer,10-19,In-person,16,13,2,1,1,7,154800.0
France,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Hybrid,7,3,6,1,1,4,85000.0
Australia,18-24 years old,Bachelor's degree,Data scientist/ML engineer,"5,000-9,999",Hybrid,3,2,4,1,0,9,107200.0
United States,25-34 years old,"Professional degree (JD, MD, etc.)",DevOps/SRE/platform engineer,100-499,Fully remote,10,6,4,1,0,4,142500.0
Germany,25-34 years old,Bachelor's degree,Mobile developer,20-99,Hybrid,6,6,2,1,0,8,65500.0
Germany,45-54 years old,Master's degree,DevOps/SRE/platform engineer,"10,000 or more",Fully remote,17,17,7,1,1,6,145000.0
Canada,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,"10,000 or more",Hybrid,16,13,7,1,0,8,194300.0
India,35-44 years old,Master's degree,Full-stack developer,"10,000 or more",In-person,17,16,2,1,0,6,37900.0
India,45-54 years old,Bachelor's degree,Data scientist/ML engineer,10-19,Hybrid,22,21,4,0,1,5,64100.0
United States,35-44 years old,Bachelor's degree,Data scientist/ML engineer,20-99,Hybrid,18,15,6,0,0,10,243600.0
United States,25-34 years old,Associate's degree,Full-stack developer,100-499,Hybrid,4,4,4,1,1,8,147900.0
United Kingdom,45-54 years old,Bachelor's degree,Desktop/embedded developer,"10,000 or more",Fully remote,22,22,7,1,1,9,86400.0
United States,25-34 years old,Bachelor's degree,Back-end developer,"1,000-4,999",Hybrid,6,6,4,1,0,6,167300.0
United States,35-44 years old,Bachelor's degree,Mobile developer,"10,000 or more",In-person,13,9,2,1,1,6,
India,45-54 years old,Master's degree,Desktop/embedded developer,"10,000 or more",In-person,23,21,5,1,1,4,43900.0
United States,25-34 years old,Bachelor's degree,Data/business analyst,"5,000-9,999",Fully remote,2,2,3,1,0,6,127500.0
United States,18-24 years old,High school/GED,Full-stack developer,20-99,Fully remote,2,0,3,1,1,10,93300.0
India,25-34 years old,Bachelor's degree,Full-stack developer,20-99,In-person,8,6,3,1,1,7,36200.0
United States,25-34 years old,Master's degree,Engineer (other),20-99,In-person,7,6,9,1,1,8,187400.0
Netherlands,35-44 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,11,8,2,1,1,8,62900.0
United States,45-54 years old,Master's degree,Back-end developer,20-99,Fully remote,27,23,4,1,1,4,220200.0
Poland,18-24 years old,Bachelor's degree,Front-end developer,"5,000-9,999",In-person,5,3,5,0,0,2,
India,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,2-9 employees,Hybrid,7,3,4,1,1,3,28200.0
France,25-34 years old,Master's degree,Full-stack developer,"1,000-4,999",In-person,1,0,2,1,1,8,85000.0
United States,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",Fully remote,5,5,4,1,0,7,166100.0
Ukraine,18-24 years old,Some college,Front-end developer,2-9 employees,In-person,2,0,3,0,1,9,23000.0
Poland,25-34 years old,Bachelor's degree,Back-end developer,2-9 employees,In-person,8,5,1,1,1,6,86600.0
United States,55-64 years old,Master's degree,Back-end developer,20-99,Hybrid,28,27,6,1,0,3,224000.0
United States,25-34 years old,High school/GED,DevOps/SRE/platform engineer,20-99,Hybrid,4,0,3,1,0,10,102800.0
France,25-34 years old,Master's degree,Data scientist/ML engineer,500-999,Fully remote,4,4,4,0,0,6,109200.0
Ukraine,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,"1,000-4,999",In-person,15,11,3,1,1,9,30500.0
Germany,25-34 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,10,7,6,0,1,2,105200.0
Germany,55-64 years old,Master's degree,Desktop/embedded developer,20-99,In-person,28,26,7,1,1,6,
United States,55-64 years old,Bachelor's degree,Engineer (other),100-499,Hybrid,36,33,2,1,0,7,235300.0
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"1,000-4,999",In-person,4,0,4,1,1,7,22500.0
India,25-34 years old,Master's degree,Full-stack developer,2-9 employees,In-person,13,9,2,1,1,8,
India,25-34 years old,Master's degree,Security professional,20-99,Hybrid,7,4,1,1,1,9,35100.0
United States,25-34 years old,High school/GED,Front-end developer,"10,000 or more",Hybrid,11,8,7,1,0,8,
United States,18-24 years old,"Professional degree (JD, MD, etc.)",DevOps/SRE/platform engineer,20-99,Hybrid,5,2,3,1,1,6,
France,35-44 years old,Master's degree,Full-stack developer,"5,000-9,999",Hybrid,15,15,3,1,1,10,119400.0
France,25-34 years old,Associate's degree,Desktop/embedded developer,20-99,Hybrid,8,4,7,1,0,9,88500.0
India,18-24 years old,Bachelor's degree,Mobile developer,2-9 employees,In-person,1,0,3,1,1,8,29400.0
Russia,25-34 years old,Bachelor's degree,Front-end developer,100-499,Hybrid,9,9,8,1,1,7,33800.0
India,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"10,000 or more",In-person,20,20,3,1,0,7,67400.0
India,25-34 years old,Master's degree,Full-stack developer,"5,000-9,999",In-person,6,6,7,1,1,8,
Brazil,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,20-99,In-person,10,9,8,1,0,7,39600.0
Poland,25-34 years old,Master's degree,Back-end developer,"10,000 or more",In-person,5,2,5,1,1,10,53700.0
Spain,65 years or older,Bachelor's degree,Desktop/embedded developer,100-499,Fully remote,41,37,3,0,1,8,73400.0
United States,25-34 years old,Associate's degree,Full-stack developer,2-9 employees,Hybrid,5,3,1,1,1,5,122100.0
United States,35-44 years old,Associate's degree,Full-stack developer,Just me,Hybrid,14,12,5,1,0,8,150100.0
France,35-44 years old,Some college,Back-end developer,100-499,Fully remote,16,12,3,1,1,7,
India,25-34 years old,Bachelor's degree,Back-end developer,100-499,Fully remote,1,0,1,1,0,4,
United States,35-44 years old,"Professional degree (JD, MD, etc.)",Front-end developer,2-9 employees,Hybrid,12,10,3,0,1,7,128100.0
Canada,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Desktop/embedded developer,"10,000 or more",Hybrid,9,9,3,1,0,9,127700.0
India,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,17,15,6,0,0,1,38300.0
India,35-44 years old,Master's degree,Full-stack developer,"5,000-9,999",Fully remote,16,12,1,1,0,9,38300.0
India,25-34 years old,Bachelor's degree,Front-end developer,500-999,Fully remote,6,6,3,0,1,8,23300.0
United States,18-24 years old,Bachelor's degree,Back-end developer,"1,000-4,999",Hybrid,3,1,2,0,1,8,217100.0
United States,45-54 years old,Master's degree,Full-stack developer,100-499,Hybrid,28,24,2,1,0,9,175900.0
Germany,25-34 years old,Bachelor's degree,Front-end developer,"1,000-4,999",Hybrid,5,4,3,0,1,10,122000.0
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,"10,000 or more",Hybrid,10,6,4,1,1,5,31300.0
Spain,18-24 years old,Master's degree,Full-stack developer,"1,000-4,999",Hybrid,6,5,1,1,1,9,64900.0
United States,35-44 years old,Master's degree,Full-stack developer,20-99,Fully remote,10,10,3,1,0,5,
Spain,35-44 years old,Bachelor's degree,Data scientist/ML engineer,20-99,Fully remote,21,17,2,1,1,4,101100.0
India,18-24 years old,Some college,Desktop/embedded developer,"10,000 or more",Hybrid,3,0,6,1,1,7,21300.0
India,25-34 years old,Bachelor's degree,Back-end developer,10-19,Hybrid,13,10,5,1,0,10,35200.0
India,25-34 years old,Master's degree,Desktop/embedded developer,"5,000-9,999",Hybrid,7,4,5,1,0,2,41500.0
India,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Data/business analyst,100-499,In-person,14,11,5,1,1,7,25800.0
United Kingdom,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,3,0,6,1,1,8,
India,35-44 years old,Master's degree,Full-stack developer,"1,000-4,999",Hybrid,12,11,6,1,0,8,
France,25-34 years old,Bachelor's degree,Full-stack developer,10-19,In-person,6,2,4,0,1,7,83100.0
Germany,55-64 years old,Bachelor's degree,Data scientist/ML engineer,100-499,Hybrid,26,26,6,0,1,7,96800.0
France,18-24 years old,Master's degree,Back-end developer,2-9 employees,Fully remote,4,1,3,1,1,7,102100.0
Canada,25-34 years old,Master's degree,Engineer (other),"1,000-4,999",In-person,11,8,3,1,1,8,73800.0
India,18-24 years old,Associate's degree,Data scientist/ML engineer,2-9 employees,In-person,2,2,6,1,1,6,27400.0
Australia,45-54 years old,Bachelor's degree,Back-end developer,2-9 employees,Hybrid,21,21,4,1,1,5,122100.0
Netherlands,45-54 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,20,17,3,1,1,5,116700.0
Italy,25-34 years old,Some college,Front-end developer,100-499,In-person,3,2,6,1,1,8,46100.0
United States,35-44 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,20-99,Hybrid,17,17,3,0,0,10,189200.0
Spain,35-44 years old,Bachelor's degree,Mobile developer,500-999,Hybrid,14,10,5,0,1,5,71300.0
Spain,25-34 years old,Some college,Back-end developer,100-499,In-person,14,10,5,1,1,5,83600.0
France,25-34 years old,Some college,Full-stack developer,100-499,Hybrid,5,4,2,0,1,8,128700.0
United Kingdom,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"10,000 or more",Hybrid,7,5,2,1,1,1,59000.0
Sweden,18-24 years old,Master's degree,Full-stack developer,"1,000-4,999",Fully remote,6,5,5,1,1,9,81800.0
Sweden,45-54 years old,Master's degree,Front-end developer,10-19,Fully remote,27,24,1,0,0,6,123300.0
France,45-54 years old,High school/GED,Full-stack developer,500-999,In-person,22,20,3,1,1,9,82200.0
India,35-44 years old,Master's degree,Front-end developer,2-9 employees,Hybrid,14,11,8,1,1,8,34200.0
Australia,25-34 years old,Bachelor's degree,Front-end developer,20-99,Fully remote,9,5,1,0,1,8,91200.0
United States,25-34 years old,Master's degree,Front-end developer,"10,000 or more",Hybrid,6,6,3,1,1,4,
India,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Desktop/embedded developer,100-499,Hybrid,18,15,6,1,1,6,57100.0
Italy,45-54 years old,Some college,Full-stack developer,"10,000 or more",In-person,24,20,3,1,1,5,
Australia,45-54 years old,Bachelor's degree,Back-end developer,10-19,Fully remote,23,22,4,1,1,8,116500.0
Ukraine,35-44 years old,High school/GED,Back-end developer,20-99,Hybrid,20,17,3,1,0,1,
Canada,35-44 years old,Bachelor's degree,Back-end developer,20-99,Hybrid,17,13,6,1,0,7,90500.0
India,18-24 years old,Bachelor's degree,Engineer (other),20-99,Hybrid,2,2,3,0,1,9,20300.0
Italy,25-34 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,"1,000-4,999",In-person,3,0,8,1,1,2,42700.0
India,45-54 years old,Bachelor's degree,Desktop/embedded developer,500-999,In-person,16,12,3,1,1,5,47200.0
Poland,35-44 years old,Master's degree,Back-end developer,500-999,Fully remote,16,13,5,1,1,4,89800.0
United Kingdom,18-24 years old,Master's degree,Back-end developer,500-999,Fully remote,1,1,3,1,1,10,80500.0
United States,18-24 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Data scientist/ML engineer,"1,000-4,999",Hybrid,3,0,4,1,1,10,152500.0
United States,35-44 years old,Bachelor's degree,Full-stack developer,"10,000 or more",In-person,16,13,6,1,1,3,135000.0
India,18-24 years old,Bachelor's degree,Data scientist/ML engineer,100-499,Hybrid,5,1,4,0,1,4,24600.0
United Kingdom,25-34 years old,High school/GED,Full-stack developer,"5,000-9,999",Hybrid,10,8,2,1,1,1,91100.0
United States,25-34 years old,High school/GED,Back-end developer,100-499,Hybrid,8,5,9,1,1,7,133500.0
India,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"1,000-4,999",Fully remote,12,10,9,1,0,8,32700.0
Canada,35-44 years old,High school/GED,Full-stack developer,"10,000 or more",In-person,16,15,3,0,1,8,143700.0
Brazil,25-34 years old,Bachelor's degree,Data scientist/ML engineer,2-9 employees,Hybrid,7,4,1,1,1,5,64000.0
United States,35-44 years old,Less than high school,Full-stack developer,100-499,Hybrid,16,14,1,1,0,4,101400.0
France,25-34 years old,Bachelor's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,5,4,6,1,0,2,66500.0
United States,25-34 years old,Bachelor's degree,Back-end developer,100-499,Hybrid,7,3,4,0,1,8,150600.0
United States,35-44 years old,Some college,Desktop/embedded developer,"10,000 or more",Hybrid,15,12,5,1,0,5,229400.0
United States,35-44 years old,Bachelor's degree,Mobile developer,10-19,In-person,16,12,4,1,1,3,131100.0
France,45-54 years old,Bachelor's degree,Back-end developer,500-999,Hybrid,22,21,3,1,0,6,132800.0
United States,35-44 years old,Master's degree,Full-stack developer,"10,000 or more",Fully remote,15,11,4,0,1,4,158500.0
United States,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,Hybrid,10,6,4,1,0,7,184600.0
United States,18-24 years old,Master's degree,Full-stack developer,100-499,In-person,0,0,9,1,1,4,85400.0
Ukraine,25-34 years old,Some college,Front-end developer,2-9 employees,Fully remote,8,7,3,1,0,10,25800.0
Russia,25-34 years old,High school/GED,Mobile developer,2-9 employees,In-person,8,4,3,1,1,6,33900.0
United States,25-34 years old,High school/GED,Desktop/embedded developer,100-499,Hybrid,6,4,2,1,1,7,119400.0
India,55-64 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,32,31,3,1,1,7,
Ukraine,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",Hybrid,3,3,3,1,0,9,30300.0
United States,45-54 years old,Some college,Full-stack developer,"1,000-4,999",Hybrid,18,15,8,1,0,10,131700.0
United States,35-44 years old,Master's degree,Back-end developer,"10,000 or more",Fully remote,16,12,4,0,1,6,216700.0
United States,35-44 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",In-person,13,11,5,1,1,6,151000.0
Italy,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Data scientist/ML engineer,"1,000-4,999",Hybrid,2,2,6,0,1,4,80100.0
Poland,35-44 years old,Master's degree,Back-end developer,"5,000-9,999",In-person,12,11,5,0,1,4,94900.0
United States,25-34 years old,Master's degree,Mobile developer,100-499,Hybrid,10,6,2,1,1,8,149900.0
United States,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,In-person,5,5,4,1,0,6,179100.0
Sweden,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Mobile developer,10-19,Hybrid,13,13,4,1,1,9,144800.0
Germany,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"10,000 or more",Hybrid,12,10,8,1,1,7,107100.0
Canada,18-24 years old,Bachelor's degree,Front-end developer,2-9 employees,In-person,3,0,6,1,1,5,71900.0
India,35-44 years old,Bachelor's degree,Back-end developer,20-99,Hybrid,16,13,2,1,1,8,44500.0
Poland,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Hybrid,6,3,8,0,0,7,56500.0
United States,55-64 years old,Bachelor's degree,Front-end developer,"10,000 or more",Hybrid,26,25,4,1,0,9,221400.0
Netherlands,55-64 years old,Bachelor's degree,DevOps/SRE/platform engineer,"5,000-9,999",Hybrid,26,26,1,1,1,6,
United States,45-54 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,20,19,3,0,1,5,170500.0
